experience,cgpa,Age,Interview_score,Salary
1.1,8,22,75,39343
1.3,7,23,74,46205
1.5,6,22,76,37731
2,8,24,78,43525
2.2,6,28,84,39881
2.9,7,24,85,56642
3.2,8,26,79,60150
3.2,8,27,77,54445
3.7,9,22,73,64445
3.9,7,24,71,57189
4,8,28,85,63218
4,5,24,86,55789
4.1,6,26,99,56954
4.5,7,24,84,57081
4.9,8,27,75,61111
5.1,7,24,46,67938
5.3,6,25,75,66029
5.9,9,21,78,83022
6,7,27,95,81363
6.8,8,29,63,93940
7.1,5,28,79,91738
7.9,7,30,88,98724
8.2,6,31,81,101302
8.7,3,29,87,113338
9,7,36,86,109431
9.5,5,34,84,105582
9.6,4,38,79,116945
10.3,9,40,73,122391
10.5,4,39,75,121872
